method,source,dataset,k,seed,recovery_f1,noise_rate,runtime_s
ModMRMR,modmrmr,xor,5,1,0.5714285714285715,0.6,0.010045457980595529
mrmr_selection_classif,external,xor,3,2,0.4,0.6666666666666666,1.5861434579710476
mrmr_selection_classif,external,xor,5,2,0.5714285714285715,0.6,1.9320376670220867
cmim,external,xor,3,2,0.4,0.6666666666666666,0.009568958019372076
cmim,external,xor,5,2,0.5714285714285715,0.6,0.014318667002953589
jmi,external,xor,3,2,0.0,1.0,0.009140125010162592
jmi,external,xor,5,2,0.28571428571428575,0.8,0.01419337501283735
MID,modmrmr,xor,3,2,0.0,1.0,0.0800174999749288
MID,modmrmr,xor,5,2,0.28571428571428575,0.8,0.08006670797476545
MIQ,modmrmr,xor,3,2,0.0,1.0,0.07870849996106699
MIQ,modmrmr,xor,5,2,0.28571428571428575,0.8,0.08074383297935128
FCD,modmrmr,xor,3,2,0.4,0.6666666666666666,0.00899983401177451
FCD,modmrmr,xor,5,2,0.5714285714285715,0.6,0.009628584026359022
FCQ,modmrmr,xor,3,2,0.4,0.6666666666666666,0.008813333988655359
FCQ,modmrmr,xor,5,2,0.5714285714285715,0.6,0.010440999991260469
ModMRMR,modmrmr,xor,3,2,0.4,0.6666666666666666,0.008992375049274415
ModMRMR,modmrmr,xor,5,2,0.5714285714285715,0.6,0.010020208021160215
mrmr_selection_classif,external,redundant_blocks_clf,3,0,0.5454545454545454,0.0,1.2731994589557871
mrmr_selection_classif,external,redundant_blocks_clf,5,0,0.7692307692307693,0.0,0.30427775002317503
mrmr_selection_classif,external,redundant_blocks_clf,10,0,0.888888888888889,0.2,1.4043721670168452
cmim,external,redundant_blocks_clf,3,0,0.18181818181818182,0.6666666666666666,0.026542290986981243
cmim,external,redundant_blocks_clf,5,0,0.4615384615384615,0.4,0.04479537496808916
cmim,external,redundant_blocks_clf,10,0,0.7777777777777777,0.3,0.07454216695623472
jmi,external,redundant_blocks_clf,3,0,0.18181818181818182,0.6666666666666666,0.026183584006503224
jmi,external,redundant_blocks_clf,5,0,0.3076923076923077,0.6,0.044308834010735154
jmi,external,redundant_blocks_clf,10,0,0.6666666666666665,0.4,0.07441566698253155
MID,modmrmr,redundant_blocks_clf,3,0,0.36363636363636365,0.3333333333333333,0.3407981659984216
MID,modmrmr,redundant_blocks_clf,5,0,0.3076923076923077,0.6,0.31393524998566136
MID,modmrmr,redundant_blocks_clf,10,0,0.4444444444444445,0.6,0.3166455830214545
MIQ,modmrmr,redundant_blocks_clf,3,0,0.36363636363636365,0.3333333333333333,0.31225708400597796
MIQ,modmrmr,redundant_blocks_clf,5,0,0.3076923076923077,0.6,0.3139489580062218
MIQ,modmrmr,redundant_blocks_clf,10,0,0.7777777777777777,0.3,0.31774958403548226
FCD,modmrmr,redundant_blocks_clf,3,0,0.5454545454545454,0.0,0.02478016697568819
FCD,modmrmr,redundant_blocks_clf,5,0,0.7692307692307693,0.0,0.025340667052660137
FCD,modmrmr,redundant_blocks_clf,10,0,0.888888888888889,0.2,0.02762054099002853
FCQ,modmrmr,redundant_blocks_clf,3,0,0.5454545454545454,0.0,0.024494542041793466
FCQ,modmrmr,redundant_blocks_clf,5,0,0.7692307692307693,0.0,0.02562708395998925
FCQ,modmrmr,redundant_blocks_clf,10,0,0.888888888888889,0.2,0.028752457990776747
ModMRMR,modmrmr,redundant_blocks_clf,3,0,0.5454545454545454,0.0,0.024782082997262478
ModMRMR,modmrmr,redundant_blocks_clf,5,0,0.6153846153846154,0.2,0.025646959024015814
